	preference	preference	preference	preference
prompt_template	Date	Date	Date Today	Date Today
stance	no	yes	no	yes
model				
Llama-2-13b	0.0	0.008	0.0	0.00819672131147541
Llama-2-70b	0.025	0.02631578947368421	0.008130081300813009	0.1111111111111111
Llama-2-7b	1.0	1.0	1.0	1.0
Llama-3-70B	0.00819672131147541	0.018518518518518517	0.008	0.31313131313131315
Llama-3-8B	0.02608695652173913	0.0594059405940594	0.008	0.5494505494505495
claude-haiku	0.0	0.0	0.0	0.02830188679245283
claude-sonnet	0.0	0.02127659574468085	0.0	0.49230769230769234
gpt-4-turbo	0.12037037037037036	0.43010752688172044	0.025210084033613446	0.7663551401869159
tulu-70b	0.0380952380952381	0.11458333333333333	0.008403361344537815	0.2839506172839506
tulu-7b	0.09090909090909091	0.0967741935483871	0.014285714285714285	0.14285714285714285
